Run_Timestamp,AsOfDate,Symbol,Window,Mode,Basis,PCR,Puts,Calls,Spot,DTE_Min,DTE_Max,Strike_Pct,Expiries_Inspected,Expiries_Used
2026-01-15 16:33:36,2026-01-15,DIA,ALL,all_expiries_all_strikes,openInterest,2.054247,364709,177539,,,,,,18
2026-01-15 16:33:36,2026-01-15,DIA,ALL,all_expiries_all_strikes,volume,0.907009,35640,39294,,,,,,18
2026-01-15 16:33:36,2026-01-15,DIA,DTE_1_20,windowed,openInterest,0.865753,47806,55219,494.48,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,DIA,DTE_1_20,windowed,volume,0.53336,14533,27248,494.48,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,DIA,DTE_20_60,windowed,openInterest,1.009709,11960,11845,494.48,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,DIA,DTE_20_60,windowed,volume,0.680111,2698,3967,494.48,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,DIA,DTE_60_120,windowed,openInterest,0.571365,12778,22364,494.48,60.0,120.0,0.1,2.0,2
2026-01-15 16:33:36,2026-01-15,DIA,DTE_60_120,windowed,volume,0.724758,1048,1446,494.48,60.0,120.0,0.1,2.0,2
2026-01-15 16:33:36,2026-01-15,IWM,ALL,all_expiries_all_strikes,openInterest,2.500629,7065006,2825291,,,,,,28
2026-01-15 16:33:36,2026-01-15,IWM,ALL,all_expiries_all_strikes,volume,1.882397,798577,424234,,,,,,28
2026-01-15 16:33:36,2026-01-15,IWM,DTE_1_20,windowed,openInterest,1.547505,908169,586860,265.51,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,IWM,DTE_1_20,windowed,volume,1.725991,377224,218555,265.51,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,IWM,DTE_20_60,windowed,openInterest,1.892272,667446,352722,265.51,20.0,60.0,0.1,5.0,4
2026-01-15 16:33:36,2026-01-15,IWM,DTE_20_60,windowed,volume,2.290913,254761,111205,265.51,20.0,60.0,0.1,5.0,4
2026-01-15 16:33:36,2026-01-15,IWM,DTE_60_120,windowed,openInterest,0.643189,272117,423075,265.51,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,IWM,DTE_60_120,windowed,volume,0.704773,32452,46046,265.51,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,KRE,ALL,all_expiries_all_strikes,openInterest,1.678311,1087752,648123,,,,,,22
2026-01-15 16:33:36,2026-01-15,KRE,ALL,all_expiries_all_strikes,volume,1.259922,112283,89119,,,,,,22
2026-01-15 16:33:36,2026-01-15,KRE,DTE_1_20,windowed,openInterest,0.527422,112101,212545,68.24,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,KRE,DTE_1_20,windowed,volume,1.729316,54636,31594,68.24,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,KRE,DTE_20_60,windowed,openInterest,0.37387,56131,150135,68.24,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,KRE,DTE_20_60,windowed,volume,4.44301,12045,2711,68.24,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,KRE,DTE_60_120,windowed,openInterest,0.344341,35608,103409,68.24,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,KRE,DTE_60_120,windowed,volume,0.154895,4283,27651,68.24,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,QQQ,ALL,all_expiries_all_strikes,openInterest,1.550876,5442950,3509598,,,,,,27
2026-01-15 16:33:36,2026-01-15,QQQ,ALL,all_expiries_all_strikes,volume,1.306026,1328080,1016886,,,,,,27
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_1_20,windowed,openInterest,1.019241,1057328,1037368,621.78,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_1_20,windowed,volume,1.233342,1017902,825320,621.78,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_20_60,windowed,openInterest,1.372797,534025,389005,621.78,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_20_60,windowed,volume,1.260461,122905,97508,621.78,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_60_120,windowed,openInterest,1.254934,533111,424812,621.78,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,QQQ,DTE_60_120,windowed,volume,1.376595,34960,25396,621.78,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,SPY,ALL,all_expiries_all_strikes,openInterest,2.376815,11539710,4855115,,,,,,29
2026-01-15 16:33:36,2026-01-15,SPY,ALL,all_expiries_all_strikes,volume,1.28961,1913994,1484165,,,,,,29
2026-01-15 16:33:36,2026-01-15,SPY,DTE_1_20,windowed,openInterest,1.668968,2346140,1405743,692.24,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,SPY,DTE_1_20,windowed,volume,1.175477,1441516,1226324,692.24,1.0,20.0,0.1,7.0,7
2026-01-15 16:33:36,2026-01-15,SPY,DTE_20_60,windowed,openInterest,2.216093,1041096,469789,692.24,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,SPY,DTE_20_60,windowed,volume,2.470692,231951,93881,692.24,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,SPY,DTE_60_120,windowed,openInterest,1.078532,552753,512505,692.24,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,SPY,DTE_60_120,windowed,volume,1.543011,51714,33515,692.24,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,XLF,ALL,all_expiries_all_strikes,openInterest,1.652301,3016631,1825715,,,,,,23
2026-01-15 16:33:36,2026-01-15,XLF,ALL,all_expiries_all_strikes,volume,0.805691,95107,118044,,,,,,23
2026-01-15 16:33:36,2026-01-15,XLF,DTE_1_20,windowed,openInterest,0.924188,384333,415860,54.37,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,XLF,DTE_1_20,windowed,volume,0.408819,16735,40935,54.37,1.0,20.0,0.1,3.0,3
2026-01-15 16:33:36,2026-01-15,XLF,DTE_20_60,windowed,openInterest,1.049866,177968,169515,54.37,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,XLF,DTE_20_60,windowed,volume,0.530407,9437,17792,54.37,20.0,60.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,XLF,DTE_60_120,windowed,openInterest,0.912163,282557,309766,54.37,60.0,120.0,0.1,4.0,4
2026-01-15 16:33:36,2026-01-15,XLF,DTE_60_120,windowed,volume,1.770141,13315,7522,54.37,60.0,120.0,0.1,4.0,4
